Country,Coffee type,Period,Consumption
Gabon,Robusta,2000/01,18000
Ghana,Robusta,2000/01,60000
Guatemala,Arabica/Robusta,2000/01,18000000
Guinea,Robusta,2000/01,3000000
Guyana,Robusta,2000/01,112980
Honduras,Arabica,2000/01,13800000
India,Robusta/Arabica,2000/01,58500000
Jamaica,Arabica,2000/01,724020
Kenya,Arabica,2000/01,3000000
Lao People's Democratic Republic,Robusta,2000/01,0
Liberia,Robusta,2000/01,300000
Mexico,Arabica/Robusta,2000/01,78300000
Nepal,Arabica,2000/01,0
Nicaragua,Arabica,2000/01,10495800
Nigeria,Robusta,2000/01,2400000
Panama,Arabica,2000/01,4020000
Sierra Leone,Robusta,2000/01,300000
Sri Lanka,Robusta/Arabica,2000/01,1800000
Thailand,Robusta/Arabica,2000/01,30000000
Togo,Robusta,2000/01,120000
Trinidad & Tobago,Robusta,2000/01,840000
Uganda,Robusta/Arabica,2000/01,8520000
Venezuela,Arabica,2000/01,71039400
Viet Nam,Robusta/Arabica,2000/01,24097500
Yemen,Arabica,2000/01,0
Angola,Robusta/Arabica,2001/02,1200000
Bolivia (Plurinational State of),Arabica,2001/02,2190000
Brazil,Arabica/Robusta,2001/02,815400000
Burundi,Arabica/Robusta,2001/02,120000
Ecuador,Arabica/Robusta,2001/02,12000000
Indonesia,Robusta/Arabica,2001/02,120000000
Madagascar,Robusta,2001/02,7680000
Malawi,Arabica,2001/02,60000
Papua New Guinea,Arabica/Robusta,2001/02,120000
Paraguay,Arabica,2001/02,1200000
Peru,Arabica,2001/02,12000000
Rwanda,Arabica,2001/02,120000
Timor-Leste,Arabica,2001/02,0
Zimbabwe,Arabica,2001/02,240000
Congo,Robusta,2001/02,180000
Cuba,Arabica,2001/02,13200000
Dominican Republic,Arabica/Robusta,2001/02,20411880
Haiti,Arabica,2001/02,20400000
Philippines,Robusta/Arabica,2001/02,49260000
Tanzania,Arabica/Robusta,2001/02,900000
Zambia,Arabica,2001/02,36000
Cameroon,Robusta/Arabica,2001/02,4140000
Central African Republic,Robusta,2001/02,180000
Colombia,Arabica,2001/02,76020000
Costa Rica,Arabica,2001/02,22500000
Côte d'Ivoire,Robusta,2001/02,19000020
Democratic Republic of Congo,Robusta/Arabica,2001/02,12000000
El Salvador,Arabica,2001/02,9198000
Equatorial Guinea,Robusta,2001/02,0
Ethiopia,Arabica,2001/02,127260000
Gabon,Robusta,2001/02,18000
Ghana,Robusta,2001/02,60000
Guatemala,Arabica/Robusta,2001/02,18000000
Guinea,Robusta,2001/02,3000000
Guyana,Robusta,2001/02,250020
Honduras,Arabica,2001/02,12000000
India,Robusta/Arabica,2001/02,64020000
Jamaica,Arabica,2001/02,600000
Kenya,Arabica,2001/02,3000000
Lao People's Democratic Republic,Robusta,2001/02,0
Liberia,Robusta,2001/02,300000
Mexico,Arabica/Robusta,2001/02,90000000
Nepal,Arabica,2001/02,0
Nicaragua,Arabica,2001/02,10639380
Nigeria,Robusta,2001/02,2400000
Panama,Arabica,2001/02,4020000
Sierra Leone,Robusta,2001/02,300000
Sri Lanka,Robusta/Arabica,2001/02,1800000
Thailand,Robusta/Arabica,2001/02,30000000
Togo,Robusta,2001/02,120000
Trinidad & Tobago,Robusta,2001/02,840000
Uganda,Robusta/Arabica,2001/02,8460000
Venezuela,Arabica,2001/02,74044200
Viet Nam,Robusta/Arabica,2001/02,27651900
Yemen,Arabica,2001/02,0
Angola,Robusta/Arabica,2002/03,1200000
Bolivia (Plurinational State of),Arabica,2002/03,2250000
Brazil,Arabica/Robusta,2002/03,825000000
Burundi,Arabica/Robusta,2002/03,120000
Ecuador,Arabica/Robusta,2002/03,9000000
Indonesia,Robusta/Arabica,2002/03,106740000
Madagascar,Robusta,2002/03,13020000
Malawi,Arabica,2002/03,60000
Papua New Guinea,Arabica/Robusta,2002/03,120000
Paraguay,Arabica,2002/03,1200000
Peru,Arabica,2002/03,13200000
Rwanda,Arabica,2002/03,19980
Timor-Leste,Arabica,2002/03,0
Zimbabwe,Arabica,2002/03,240000
Congo,Robusta,2002/03,180000
Cuba,Arabica,2002/03,13440000
Dominican Republic,Arabica/Robusta,2002/03,20411880
Haiti,Arabica,2002/03,20400000
Philippines,Robusta/Arabica,2002/03,49740000
Tanzania,Arabica/Robusta,2002/03,900000
Zambia,Arabica,2002/03,36000
Cameroon,Robusta/Arabica,2002/03,4140000
Central African Republic,Robusta,2002/03,227220
Colombia,Arabica,2002/03,75120000
Costa Rica,Arabica,2002/03,22500000
Côte d'Ivoire,Robusta,2002/03,19000020
Democratic Republic of Congo,Robusta/Arabica,2002/03,12000000
El Salvador,Arabica,2002/03,9198000
Equatorial Guinea,Robusta,2002/03,0
Ethiopia,Arabica,2002/03,134040000
Gabon,Robusta,2002/03,18000
Ghana,Robusta,2002/03,60000
Guatemala,Arabica/Robusta,2002/03,18000000
Guinea,Robusta,2002/03,3000000
Guyana,Robusta,2002/03,261000
Honduras,Arabica,2002/03,12000000
India,Robusta/Arabica,2002/03,67980000
Jamaica,Arabica,2002/03,540000
Kenya,Arabica,2002/03,3000000
Lao People's Democratic Republic,Robusta,2002/03,9480000
Liberia,Robusta,2002/03,300000
Mexico,Arabica/Robusta,2002/03,90000000
Nepal,Arabica,2002/03,0
Nicaragua,Arabica,2002/03,10777440
Nigeria,Robusta,2002/03,2400000
Panama,Arabica,2002/03,4020000
Sierra Leone,Robusta,2002/03,300000
Sri Lanka,Robusta/Arabica,2002/03,1800000
Thailand,Robusta/Arabica,2002/03,30000000
Togo,Robusta,2002/03,120000
Trinidad & Tobago,Robusta,2002/03,840000
Uganda,Robusta/Arabica,2002/03,8400000
Venezuela,Arabica,2002/03,77176200
Viet Nam,Robusta/Arabica,2002/03,31130520
Yemen,Arabica,2002/03,0
Angola,Robusta/Arabica,2003/04,900000
Bolivia (Plurinational State of),Arabica,2003/04,2310000
Brazil,Arabica/Robusta,2003/04,852000000
Burundi,Arabica/Robusta,2003/04,120000
Ecuador,Arabica/Robusta,2003/04,9000000
Indonesia,Robusta/Arabica,2003/04,109980000
Madagascar,Robusta,2003/04,19980000
Malawi,Arabica,2003/04,60000
Papua New Guinea,Arabica/Robusta,2003/04,120000
Paraguay,Arabica,2003/04,1200000
Peru,Arabica,2003/04,13200000
Rwanda,Arabica,2003/04,19980
Timor-Leste,Arabica,2003/04,0
Zimbabwe,Arabica,2003/04,240000
Congo,Robusta,2003/04,180000
Cuba,Arabica,2003/04,13440000
Dominican Republic,Arabica/Robusta,2003/04,20400000
Haiti,Arabica,2003/04,20400000
Philippines,Robusta/Arabica,2003/04,55020000
Tanzania,Arabica/Robusta,2003/04,1620000
Zambia,Arabica,2003/04,36000
Cameroon,Robusta/Arabica,2003/04,4140000
Central African Republic,Robusta,2003/04,227220
Colombia,Arabica,2003/04,74220000
Costa Rica,Arabica,2003/04,22500000
Côte d'Ivoire,Robusta,2003/04,19000020
Democratic Republic of Congo,Robusta/Arabica,2003/04,12000000
El Salvador,Arabica,2003/04,9198000
Equatorial Guinea,Robusta,2003/04,0
Ethiopia,Arabica,2003/04,141180000
Gabon,Robusta,2003/04,18000
Ghana,Robusta,2003/04,60000
Guatemala,Arabica/Robusta,2003/04,18000000
Guinea,Robusta,2003/04,3000000
Guyana,Robusta,2003/04,285000
Honduras,Arabica,2003/04,12000000
India,Robusta/Arabica,2003/04,70020000
Jamaica,Arabica,2003/04,540000
Kenya,Arabica,2003/04,3000000
Lao People's Democratic Republic,Robusta,2003/04,6180000
Liberia,Robusta,2003/04,300000
Mexico,Arabica/Robusta,2003/04,90000000
Nepal,Arabica,2003/04,0
Nicaragua,Arabica,2003/04,10914900
Nigeria,Robusta,2003/04,2400000
Panama,Arabica,2003/04,4020000
Sierra Leone,Robusta,2003/04,300000
Sri Lanka,Robusta/Arabica,2003/04,1800000
Thailand,Robusta/Arabica,2003/04,30000000
Togo,Robusta,2003/04,120000
Trinidad & Tobago,Robusta,2003/04,840000
Uganda,Robusta/Arabica,2003/04,7860000
Venezuela,Arabica,2003/04,80440800
Viet Nam,Robusta/Arabica,2003/04,36410760
Yemen,Arabica,2003/04,8760000
Angola,Robusta/Arabica,2004/05,900000
Bolivia (Plurinational State of),Arabica,2004/05,2700000
Brazil,Arabica/Robusta,2004/05,896760000
Burundi,Arabica/Robusta,2004/05,120000
Ecuador,Arabica/Robusta,2004/05,9000000
Indonesia,Robusta/Arabica,2004/05,120000000
Madagascar,Robusta,2004/05,28020000
Malawi,Arabica,2004/05,60000
Papua New Guinea,Arabica/Robusta,2004/05,120000
Paraguay,Arabica,2004/05,1200000
Peru,Arabica,2004/05,13200000
Rwanda,Arabica,2004/05,60000
Timor-Leste,Arabica,2004/05,0
Zimbabwe,Arabica,2004/05,240000
Congo,Robusta,2004/05,180000
Cuba,Arabica,2004/05,13440000
Dominican Republic,Arabica/Robusta,2004/05,22679880
Haiti,Arabica,2004/05,20400000
Philippines,Robusta/Arabica,2004/05,61200000
Tanzania,Arabica/Robusta,2004/05,2220000
Zambia,Arabica,2004/05,36000
Cameroon,Robusta/Arabica,2004/05,4140000
Central African Republic,Robusta,2004/05,180000
Colombia,Arabica,2004/05,73380000
Costa Rica,Arabica,2004/05,22500000
Côte d'Ivoire,Robusta,2004/05,19000020
Democratic Republic of Congo,Robusta/Arabica,2004/05,12000000
El Salvador,Arabica,2004/05,10350000
Equatorial Guinea,Robusta,2004/05,0
Ethiopia,Arabica,2004/05,148680000
Gabon,Robusta,2004/05,18000
Ghana,Robusta,2004/05,95400
Guatemala,Arabica/Robusta,2004/05,18000000
Guinea,Robusta,2004/05,3000000
Guyana,Robusta,2004/05,330000
Honduras,Arabica,2004/05,13800000
India,Robusta/Arabica,2004/05,72120000
Jamaica,Arabica,2004/05,540000
Kenya,Arabica,2004/05,3000000
Lao People's Democratic Republic,Robusta,2004/05,8100000
Liberia,Robusta,2004/05,300000
Mexico,Arabica/Robusta,2004/05,90000000
Nepal,Arabica,2004/05,0
Nicaragua,Arabica,2004/05,11056680
Nigeria,Robusta,2004/05,2400000
Panama,Arabica,2004/05,4020000
Sierra Leone,Robusta,2004/05,300000
Sri Lanka,Robusta/Arabica,2004/05,1800000
Thailand,Robusta/Arabica,2004/05,30000000
Togo,Robusta,2004/05,120000
Trinidad & Tobago,Robusta,2004/05,840000
Uganda,Robusta/Arabica,2004/05,8400000
Venezuela,Arabica,2004/05,83843400
Viet Nam,Robusta/Arabica,2004/05,41781360
Yemen,Arabica,2004/05,8160000
Angola,Robusta/Arabica,2005/06,900000
Bolivia (Plurinational State of),Arabica,2005/06,2460000
Brazil,Arabica/Robusta,2005/06,932280000
Burundi,Arabica/Robusta,2005/06,114360
Ecuador,Arabica/Robusta,2005/06,9000000
Indonesia,Robusta/Arabica,2005/06,150000000
Madagascar,Robusta,2005/06,28020000
Malawi,Arabica,2005/06,60000
Papua New Guinea,Arabica/Robusta,2005/06,120000
Paraguay,Arabica,2005/06,1200000
Peru,Arabica,2005/06,13200000
Rwanda,Arabica,2005/06,60000
Timor-Leste,Arabica,2005/06,0
Zimbabwe,Arabica,2005/06,240000
Congo,Robusta,2005/06,180000
Cuba,Arabica,2005/06,13440000
Dominican Republic,Arabica/Robusta,2005/06,22679880
Haiti,Arabica,2005/06,20400000
Philippines,Robusta/Arabica,2005/06,62400000
Tanzania,Arabica/Robusta,2005/06,2820000
Zambia,Arabica,2005/06,36000
Cameroon,Robusta/Arabica,2005/06,4140000
Central African Republic,Robusta,2005/06,180000
Colombia,Arabica,2005/06,72540000
Costa Rica,Arabica,2005/06,22500000
Côte d'Ivoire,Robusta,2005/06,19000020
Democratic Republic of Congo,Robusta/Arabica,2005/06,12000000
El Salvador,Arabica,2005/06,13446000
Equatorial Guinea,Robusta,2005/06,0
Ethiopia,Arabica,2005/06,156540000
Gabon,Robusta,2005/06,18000
Ghana,Robusta,2005/06,95400
Guatemala,Arabica/Robusta,2005/06,18000000
Guinea,Robusta,2005/06,3000000
Guyana,Robusta,2005/06,336000
Honduras,Arabica,2005/06,13800000
India,Robusta/Arabica,2005/06,74280000
Jamaica,Arabica,2005/06,540000
Kenya,Arabica,2005/06,3000000
Lao People's Democratic Republic,Robusta,2005/06,8400000
Liberia,Robusta,2005/06,300000
Mexico,Arabica/Robusta,2005/06,103500000
Nepal,Arabica,2005/06,0
Nicaragua,Arabica,2005/06,11203140
Nigeria,Robusta,2005/06,2400000
Panama,Arabica,2005/06,4020000
Sierra Leone,Robusta,2005/06,300000
Sri Lanka,Robusta/Arabica,2005/06,1800000
Thailand,Robusta/Arabica,2005/06,30000000
Togo,Robusta,2005/06,120000
Trinidad & Tobago,Robusta,2005/06,840000
Uganda,Robusta/Arabica,2005/06,9000000
Venezuela,Arabica,2005/06,87390000
Viet Nam,Robusta/Arabica,2005/06,48000000
Yemen,Arabica,2005/06,8280000
Angola,Robusta/Arabica,2006/07,1800000
Bolivia (Plurinational State of),Arabica,2006/07,2520000
Brazil,Arabica/Robusta,2006/07,979860000
Burundi,Arabica/Robusta,2006/07,93600
Ecuador,Arabica/Robusta,2006/07,9000000
Indonesia,Robusta/Arabica,2006/07,169980000
Madagascar,Robusta,2006/07,28020000
Malawi,Arabica,2006/07,60000
Papua New Guinea,Arabica/Robusta,2006/07,120000
Paraguay,Arabica,2006/07,1200000
Peru,Arabica,2006/07,13200000
Rwanda,Arabica,2006/07,60000
Timor-Leste,Arabica,2006/07,0
Zimbabwe,Arabica,2006/07,240000
Congo,Robusta,2006/07,180000
Cuba,Arabica,2006/07,13440000
Dominican Republic,Arabica/Robusta,2006/07,22679880
Haiti,Arabica,2006/07,20400000
Philippines,Robusta/Arabica,2006/07,63600000
Tanzania,Arabica/Robusta,2006/07,2820000
Zambia,Arabica,2006/07,36000
Cameroon,Robusta/Arabica,2006/07,4140000
Central African Republic,Robusta,2006/07,180000
Colombia,Arabica,2006/07,71677980
Costa Rica,Arabica,2006/07,22500000
Côte d'Ivoire,Robusta,2006/07,19000020
Democratic Republic of Congo,Robusta/Arabica,2006/07,12000000
El Salvador,Arabica,2006/07,15228000
Equatorial Guinea,Robusta,2006/07,0
Ethiopia,Arabica,2006/07,164880000
Gabon,Robusta,2006/07,18000
Ghana,Robusta,2006/07,60000
Guatemala,Arabica/Robusta,2006/07,18000000
Guinea,Robusta,2006/07,3000000
Guyana,Robusta,2006/07,343020
Honduras,Arabica,2006/07,13800000
India,Robusta/Arabica,2006/07,76500000
Jamaica,Arabica,2006/07,540000
Kenya,Arabica,2006/07,3000000
Lao People's Democratic Republic,Robusta,2006/07,8400000
Liberia,Robusta,2006/07,300000
Mexico,Arabica/Robusta,2006/07,120000000
Nepal,Arabica,2006/07,0
Nicaragua,Arabica,2006/07,11351100
Nigeria,Robusta,2006/07,2400000
Panama,Arabica,2006/07,4020000
Sierra Leone,Robusta,2006/07,300000
Sri Lanka,Robusta/Arabica,2006/07,1800000
Thailand,Robusta/Arabica,2006/07,30000000
Togo,Robusta,2006/07,120000
Trinidad & Tobago,Robusta,2006/07,660000
Uganda,Robusta/Arabica,2006/07,10500000
Venezuela,Arabica,2006/07,91086600
Viet Nam,Robusta/Arabica,2006/07,55020000
Yemen,Arabica,2006/07,8280000
Angola,Robusta/Arabica,2007/08,1800000
Bolivia (Plurinational State of),Arabica,2007/08,2610000
Brazil,Arabica/Robusta,2007/08,1026600000
Burundi,Arabica/Robusta,2007/08,81420
Ecuador,Arabica/Robusta,2007/08,9000000
Indonesia,Robusta/Arabica,2007/08,199980000
Madagascar,Robusta,2007/08,28020000
Malawi,Arabica,2007/08,60000
Papua New Guinea,Arabica/Robusta,2007/08,120000
Paraguay,Arabica,2007/08,1200000
Peru,Arabica,2007/08,13200000
Rwanda,Arabica,2007/08,60000
Timor-Leste,Arabica,2007/08,0
Zimbabwe,Arabica,2007/08,240000
Congo,Robusta,2007/08,180000
Cuba,Arabica,2007/08,13440000
Dominican Republic,Arabica/Robusta,2007/08,22680000
Haiti,Arabica,2007/08,20400000
Philippines,Robusta/Arabica,2007/08,63600000
Tanzania,Arabica/Robusta,2007/08,2820000
Zambia,Arabica,2007/08,60000
Cameroon,Robusta/Arabica,2007/08,4140000
Central African Republic,Robusta,2007/08,199980
Colombia,Arabica,2007/08,76855380
Costa Rica,Arabica,2007/08,22500000
Côte d'Ivoire,Robusta,2007/08,19020000
Democratic Republic of Congo,Robusta/Arabica,2007/08,12000000
El Salvador,Arabica,2007/08,15030000
Equatorial Guinea,Robusta,2007/08,0
Ethiopia,Arabica,2007/08,173640000
Gabon,Robusta,2007/08,18000
Ghana,Robusta,2007/08,120000
Guatemala,Arabica/Robusta,2007/08,18000000
Guinea,Robusta,2007/08,3000000
Guyana,Robusta,2007/08,420000
Honduras,Arabica,2007/08,14700000
India,Robusta/Arabica,2007/08,81000000
Jamaica,Arabica,2007/08,540000
Kenya,Arabica,2007/08,3000000
Lao People's Democratic Republic,Robusta,2007/08,8400000
Liberia,Robusta,2007/08,300000
Mexico,Arabica/Robusta,2007/08,132000000
Nepal,Arabica,2007/08,0
Nicaragua,Arabica,2007/08,11498700
Nigeria,Robusta,2007/08,2400000
Panama,Arabica,2007/08,4020000
Sierra Leone,Robusta,2007/08,300000
Sri Lanka,Robusta/Arabica,2007/08,1800000
Thailand,Robusta/Arabica,2007/08,33000000
Togo,Robusta,2007/08,120000
Trinidad & Tobago,Robusta,2007/08,660000
Uganda,Robusta/Arabica,2007/08,10815000
Venezuela,Arabica,2007/08,94939800
Viet Nam,Robusta/Arabica,2007/08,56280000
Yemen,Arabica,2007/08,7800000
Angola,Robusta/Arabica,2008/09,1800000
Bolivia (Plurinational State of),Arabica,2008/09,2700000
Brazil,Arabica/Robusta,2008/09,1059600000
Burundi,Arabica/Robusta,2008/09,86100
Ecuador,Arabica/Robusta,2008/09,9000000
Indonesia,Robusta/Arabica,2008/09,199980000
Madagascar,Robusta,2008/09,28020000
Malawi,Arabica,2008/09,60000
Papua New Guinea,Arabica/Robusta,2008/09,120000
Paraguay,Arabica,2008/09,1200000
Peru,Arabica,2008/09,15000000
Rwanda,Arabica,2008/09,60000
Timor-Leste,Arabica,2008/09,0
Zimbabwe,Arabica,2008/09,240000
Congo,Robusta,2008/09,180000
Cuba,Arabica,2008/09,13200000
Dominican Republic,Arabica/Robusta,2008/09,22680000
Haiti,Arabica,2008/09,20400000
Philippines,Robusta/Arabica,2008/09,103200000
Tanzania,Arabica/Robusta,2008/09,2820000
Zambia,Arabica,2008/09,60000
Cameroon,Robusta/Arabica,2008/09,4140000
Central African Republic,Robusta,2008/09,300000
Colombia,Arabica,2008/09,77430000
Costa Rica,Arabica,2008/09,16071540
Côte d'Ivoire,Robusta,2008/09,19020000
Democratic Republic of Congo,Robusta/Arabica,2008/09,12000000
El Salvador,Arabica,2008/09,14658000
Equatorial Guinea,Robusta,2008/09,0
Ethiopia,Arabica,2008/09,182880000
Gabon,Robusta,2008/09,16500
Ghana,Robusta,2008/09,120000
Guatemala,Arabica/Robusta,2008/09,20100000
Guinea,Robusta,2008/09,3000000
Guyana,Robusta,2008/09,508020
Honduras,Arabica,2008/09,16099980
India,Robusta/Arabica,2008/09,76500000
Jamaica,Arabica,2008/09,540000
Kenya,Arabica,2008/09,3000000
Lao People's Democratic Republic,Robusta,2008/09,9000000
Liberia,Robusta,2008/09,300000
Mexico,Arabica/Robusta,2008/09,132000000
Nepal,Arabica,2008/09,0
Nicaragua,Arabica,2008/09,11648820
Nigeria,Robusta,2008/09,2400000
Panama,Arabica,2008/09,4020000
Sierra Leone,Robusta,2008/09,300000
Sri Lanka,Robusta/Arabica,2008/09,1800000
Thailand,Robusta/Arabica,2008/09,36000000
Togo,Robusta,2008/09,120000
Trinidad & Tobago,Robusta,2008/09,660000
Uganda,Robusta/Arabica,2008/09,11100000
Venezuela,Arabica,2008/09,98955600
Viet Nam,Robusta/Arabica,2008/09,61260000
Yemen,Arabica,2008/09,7800000
Angola,Robusta/Arabica,2009/10,1800000
Bolivia (Plurinational State of),Arabica,2009/10,2760000
Brazil,Arabica/Robusta,2009/10,1103400000
Burundi,Arabica/Robusta,2009/10,83940
Ecuador,Arabica/Robusta,2009/10,9000000
Indonesia,Robusta/Arabica,2009/10,199980000
Madagascar,Robusta,2009/10,28020000
Malawi,Arabica,2009/10,60000
Papua New Guinea,Arabica/Robusta,2009/10,120000
Paraguay,Arabica,2009/10,1200000
Peru,Arabica,2009/10,15000000
Rwanda,Arabica,2009/10,60000
Timor-Leste,Arabica,2009/10,0
Zimbabwe,Arabica,2009/10,240000
Congo,Robusta,2009/10,180000
Cuba,Arabica,2009/10,13200000
Dominican Republic,Arabica/Robusta,2009/10,22680000
Haiti,Arabica,2009/10,20400000
Philippines,Robusta/Arabica,2009/10,109200000
Tanzania,Arabica/Robusta,2009/10,2820000
Zambia,Arabica,2009/10,0
Cameroon,Robusta/Arabica,2009/10,4140000
Central African Republic,Robusta,2009/10,499980
Colombia,Arabica,2009/10,76468740
Costa Rica,Arabica,2009/10,17726460
Côte d'Ivoire,Robusta,2009/10,19020000
Democratic Republic of Congo,Robusta/Arabica,2009/10,12000000
El Salvador,Arabica,2009/10,16098000
Equatorial Guinea,Robusta,2009/10,0
Ethiopia,Arabica,2009/10,186540000
Gabon,Robusta,2009/10,15000
Ghana,Robusta,2009/10,120000
Guatemala,Arabica/Robusta,2009/10,19200000
Guinea,Robusta,2009/10,3000000
Guyana,Robusta,2009/10,493980
Honduras,Arabica,2009/10,18400020
India,Robusta/Arabica,2009/10,79500000
Jamaica,Arabica,2009/10,540000
Kenya,Arabica,2009/10,3000000
Lao People's Democratic Republic,Robusta,2009/10,9000000
Liberia,Robusta,2009/10,300000
Mexico,Arabica/Robusta,2009/10,132000000
Nepal,Arabica,2009/10,0
Nicaragua,Arabica,2009/10,11797320
Nigeria,Robusta,2009/10,2400000
Panama,Arabica,2009/10,4020000
Sierra Leone,Robusta,2009/10,300000
Sri Lanka,Robusta/Arabica,2009/10,1800000
Thailand,Robusta/Arabica,2009/10,42000000
Togo,Robusta,2009/10,120000
Trinidad & Tobago,Robusta,2009/10,660000
Uganda,Robusta/Arabica,2009/10,11322000
Venezuela,Arabica,2009/10,99000000
Viet Nam,Robusta/Arabica,2009/10,72480000
Yemen,Arabica,2009/10,7800000
Angola,Robusta/Arabica,2010/11,1800000
Bolivia (Plurinational State of),Arabica,2010/11,2850000
Brazil,Arabica/Robusta,2010/11,1147920000
Burundi,Arabica/Robusta,2010/11,120000
Ecuador,Arabica/Robusta,2010/11,9000000
Indonesia,Robusta/Arabica,2010/11,199980000
Madagascar,Robusta,2010/11,28020000
Malawi,Arabica,2010/11,60000
Papua New Guinea,Arabica/Robusta,2010/11,85800
Paraguay,Arabica,2010/11,1200000
Peru,Arabica,2010/11,15000000
Rwanda,Arabica,2010/11,60000
Timor-Leste,Arabica,2010/11,29400
Zimbabwe,Arabica,2010/11,240000
Congo,Robusta,2010/11,180000
Cuba,Arabica,2010/11,13200000
Dominican Republic,Arabica/Robusta,2010/11,22680000
Haiti,Arabica,2010/11,20400000
Philippines,Robusta/Arabica,2010/11,127500000
Tanzania,Arabica/Robusta,2010/11,2820000
Zambia,Arabica,2010/11,0
Cameroon,Robusta/Arabica,2010/11,4099980
Central African Republic,Robusta,2010/11,600000
Colombia,Arabica,2010/11,78661440
Costa Rica,Arabica,2010/11,24433260
Côte d'Ivoire,Robusta,2010/11,19020000
Democratic Republic of Congo,Robusta/Arabica,2010/11,12000000
El Salvador,Arabica,2010/11,16560000
Equatorial Guinea,Robusta,2010/11,0
Ethiopia,Arabica,2010/11,190260000
Gabon,Robusta,2010/11,56820
Ghana,Robusta,2010/11,120000
Guatemala,Arabica/Robusta,2010/11,20400000
Guinea,Robusta,2010/11,3000000
Guyana,Robusta,2010/11,510000
Honduras,Arabica,2010/11,20100000
India,Robusta/Arabica,2010/11,79500000
Jamaica,Arabica,2010/11,540000
Kenya,Arabica,2010/11,3000000
Lao People's Democratic Republic,Robusta,2010/11,9000000
Liberia,Robusta,2010/11,300000
Mexico,Arabica/Robusta,2010/11,141240000
Nepal,Arabica,2010/11,0
Nicaragua,Arabica,2010/11,12164700
Nigeria,Robusta,2010/11,2400000
Panama,Arabica,2010/11,4020000
Sierra Leone,Robusta,2010/11,300000
Sri Lanka,Robusta/Arabica,2010/11,2100000
Thailand,Robusta/Arabica,2010/11,46500000
Togo,Robusta,2010/11,120000
Trinidad & Tobago,Robusta,2010/11,600000
Uganda,Robusta/Arabica,2010/11,12240000
Venezuela,Arabica,2010/11,99000000
Viet Nam,Robusta/Arabica,2010/11,94980000
Yemen,Arabica,2010/11,7800000
Angola,Robusta/Arabica,2011/12,1800000
Bolivia (Plurinational State of),Arabica,2011/12,2940000
Brazil,Arabica/Robusta,2011/12,1183200000
